10-Dec,,,,,,,,,,,,,,,,,,,
[684,496,1625,1560,1768,526,115,234,30,73,104,1181,114,280,409,486,799,231, 7.2],
[683,503,1624,1557,1772,540,115,232,30,73,104,1191,116,280,413,491,807,229, 7.0],
[680,497,1620,1549,1766,534,115,232,68,72,104,1195,103,346,447,272,807,231, 6.9],
[678,500,1609,1534,1758,535,114,231,53,72,105,1198,116,313,411,489,810,231, 6.8],
[678,500,1609,1534,1758,535,114,231,53,72,105,1198,116,313,411,489,810,231, 6.7],
[662,501,1578,1525,1723,534,110,224,72,72,104,1213,115,347,441,411,821,232, 6.6],
[648,532,1572,1530,1703,572,110,213,29,70,103,1217,117,276,425,498,819,224, 6.5],
[632,515,1535,1491,1673,552,105,210,28,68,101,1189,115,268,408,478,809,219, 6.4],
[657,522,1577,1522,1717,561,106,215,29,70,103,1213,118,276,418,493,816,225, 6.3],
[651,539,1571,1541,1733,571,104,209,29,69,102,1206,117,270,414,490,813,224, 6.2],
[642,521,1543,1525,1726,555,105,207,29,68,101,1186,115,268,404,480,814,223, 6.1],
[644,527,1547,1529,1739,557,102,205,28,67,100,1182,115,268,404,477,814,222, 6.0],
[670,553,1589,1568,1774,582,102,202,28,67,100,1218,115,268,410,479,823,222, 5.9],
[664,542,1585,1561,1753,569,100,203,28,67,101,1208,117,270,411,485,818,221, 5.8],
[645,530,1566,1506,1725,569,102,199,28,67,100,1188,113,266,402,473,807,220, 5.7],
[650,558,1577,1546,1759,588,102,201,28,67,98,1186,115,263,399,477,806,215, 5.6],
[654,557,1560,1522,1734,569,101,202,27,67,97,1187,114,260,400,475,812,217, 5.5],
[705,604,1642,1653,1850,611,102,203,28,69,102,1260,121,270,426,504,849,223, 5.4],
[702,588,1678,1608,1817,598,104,204,28,69,102,1259,118,272,421,496,844,221, 5.2],
[705,598,1687,1612,1823,617,102,200,28,69,102,1263,120,270,424,500,851,221, 5.0],
[706,579,1670,1632,1849,610,103,201,28,69,102,1252,120,271,419,502,845,225, 4.9],
[699,596,1679,1638,1819,617,101,196,27,68,100,1263,120,266,423,501,852,219, 4.7],
[692,565,1669,1624,1794,594,103,204,29,69,102,1232,117,272,415,485,840,227, 4.6],
[695,591,1680,1624,1843,616,103,199,28,68,101,1251,119,269,417,499,839,222, 4.5],
